date,Debt,Stocks,Inflation,Unemployment,S&P 500
2004-04-01,8.151034275154508,9.911880499149223,10.209284523383095,3.0107172704932874,5.129419191919192
2004-04-02,6.927691862863192,8.044424752932704,7.23157653739636,3.1610876320476877,8.549031986531986
2004-04-03,5.704349450571874,8.906327405032636,6.380802827114435,1.5070136549492865,0.0
2004-04-04,4.277116636232003,8.331725636966015,8.507737102819245,2.5094827319786206,0.0
2004-04-05,6.723801460814638,7.613473426882737,8.082350247678285,3.662322170562354,0.0
2004-04-06,10.189938295640038,7.469822984866081,8.507737102819245,2.6097296396815537,6.839225589225589
2004-04-07,9.170486285397274,8.76267696301598,8.082350247678285,2.459359278127154,5.129419191919192
2004-04-08,8.558815079251616,8.475376078982668,11.060058233665021,3.060840724344754,5.129419191919192
2004-04-09,6.927691862863192,6.751570774782804,7.656963392537322,1.8578778319095535,0.0
2004-04-10,7.335472666960298,7.182522100832771,6.806189682255398,1.256396385691953,0.0
2004-04-11,3.053774223940686,0.0,0.0,1.0559025702860863,0.0
2004-04-12,4.548970505630074,2.537824475627579,3.5448904595080197,1.3733511113453756,1.9947741301907969
2004-04-13,6.044166787319462,5.075648951255158,7.0897809190160395,1.6907996524046645,3.9895482603815937
2004-04-14,7.53936306900885,7.613473426882737,10.634671378524057,2.0082481934639533,5.984322390572391
2004-04-15,10.801609501785697,9.193628289065947,11.910831943946945,3.2112110858991536,6.839225589225589
2004-04-16,7.335472666960298,7.326172542849426,9.358510813101171,2.3591123704242203,7.694128787878787
2004-04-17,6.316020656717533,7.038871658816115,7.23157653739636,0.7551618471772861,0.0
2004-04-18,6.723801460814638,7.038871658816115,9.783897668242133,1.256396385691953,0.0
2004-04-19,8.96659588334872,9.337278731082602,12.76160565422887,3.9129394398196875,0.0
2004-04-20,8.762705481300168,9.480929173099257,13.612379364510796,2.7099765473844872,6.839225589225589
2004-04-21,9.782157491542932,7.613473426882737,11.910831943946945,2.8102234550874208,0.0
2004-04-22,9.170486285397274,7.469822984866081,13.186992509369833,2.659853093533021,0.0
2004-04-23,9.986047893591484,8.331725636966015,9.358510813101171,2.108495101166887,5.129419191919192
2004-04-24,5.500459048523321,6.751570774782804,4.679255406550586,1.256396385691953,0.0
2004-04-25,6.519911058766086,7.7571238688993915,10.209284523383095,2.258865462721287,0.0
2004-04-26,8.558815079251616,8.188075194949358,9.783897668242133,3.060840724344754,4.274515993265993
2004-04-27,9.374376687445826,8.619026520999325,9.358510813101171,2.659853093533021,4.274515993265993
2004-04-28,11.413280707931357,8.475376078982668,11.060058233665021,2.258865462721287,4.274515993265993
2004-04-29,7.947143873105957,8.619026520999325,10.209284523383095,2.108495101166887,0.0
2004-04-30,7.335472666960298,9.624579615115913,8.933123957960209,2.760100001235954,0.0
2004-05-01,7.131582264911744,6.607920332766149,9.358510813101171,1.106026024137553,0.0
2004-05-02,6.316020656717533,6.89522121679946,8.507737102819245,2.2087420088698204,0.0
2004-05-03,9.782157491542932,8.76267696301598,11.485445088805983,3.0107172704932874,0.0
2004-05-04,8.558815079251616,8.475376078982668,7.656963392537322,2.6097296396815537,0.0
2004-05-05,8.762705481300168,8.76267696301598,10.634671378524057,2.409235824275687,0.0
2004-05-06,10.39382869768859,7.613473426882737,8.507737102819245,3.461828355156488,0.0
2004-05-07,7.131582264911744,7.900774310916048,7.656963392537322,2.5094827319786206,0.0
2004-05-08,7.743253471057403,5.315066354616251,8.082350247678285,1.0559025702860863,0.0
2004-05-09,7.335472666960298,5.746017680666216,9.358510813101171,1.6573840165036866,0.0
2004-05-10,8.354924677203062,7.613473426882737,8.082350247678285,2.5094827319786206,5.129419191919192
2004-05-11,9.170486285397274,8.188075194949358,8.507737102819245,2.910470362790354,0.0
2004-05-12,9.986047893591484,7.469822984866081,9.783897668242133,2.8102234550874208,5.129419191919192
2004-05-13,7.53936306900885,6.4642698907494935,11.060058233665021,2.308988916572754,4.274515993265993
2004-05-14,7.947143873105957,6.89522121679946,8.933123957960209,1.7576309242066201,0.0
2004-05-15,3.869335832134898,6.751570774782804,9.358510813101171,0.3541742163655525,0.0
2004-05-16,5.704349450571874,4.740464586549629,5.955415971973473,1.6072605626522198,0.0
2004-05-17,9.374376687445826,6.4642698907494935,8.507737102819245,3.060840724344754,5.984322390572391
2004-05-18,8.96659588334872,6.751570774782804,8.082350247678285,2.5094827319786206,0.0
2004-05-19,8.558815079251616,6.4642698907494935,9.358510813101171,2.108495101166887,0.0
