Date,Debt_trend,Stocks_trend,Inflation_trend,Unemployment_trend,S&P 500_trend
2005-04-04,4.959805847585584,6.952681393606122,9.966206320445403,2.304260288850917,0.0
2005-04-05,7.319436343203669,7.532071509739965,9.966206320445403,2.44848343436693,4.274515993265993
2005-04-06,9.679066838821754,8.111461625873808,9.966206320445403,2.5927065798829427,8.549031986531986
2005-04-07,8.971177690136328,7.780381559511612,8.969585688400862,1.900435481406081,4.749462214739992
2005-04-08,7.319436343203669,7.449301493149416,7.972965056356323,1.5542999321676512,3.799569771791994
2005-04-11,8.971177690136328,5.959441194519533,11.959447584534484,2.938842129121373,6.649247100635989
2005-04-12,10.15099293794537,6.952681393606122,11.461137268512214,2.5927065798829427,3.799569771791994
2005-04-13,11.56677123531622,7.780381559511612,9.467896004423135,2.5350173216765377,4.749462214739992
2005-04-14,9.207140739698136,7.780381559511612,7.972965056356323,2.304260288850917,0.0
2005-04-15,7.083473293641861,7.780381559511612,7.972965056356323,2.419638805263727,0.0
2005-04-18,10.622919037068986,7.94592159269271,11.461137268512214,3.054220645534183,4.749462214739992
2005-04-19,8.971177690136328,6.6216013272439245,9.966206320445403,2.073503256025297,6.649247100635989
2005-04-20,9.679066838821754,7.614841526330514,9.966206320445403,2.6503958380893478,0.0
2005-04-21,9.207140739698136,7.94592159269271,12.457757900556755,2.073503256025297,6.649247100635989
2005-04-22,8.49925159101271,6.952681393606122,9.467896004423135,1.8427462231996763,3.799569771791994
2005-04-25,8.735214640574519,7.449301493149416,9.966206320445403,3.054220645534183,4.749462214739992
2005-04-26,10.622919037068986,8.111461625873808,10.464516636467676,2.5927065798829427,0.0
2005-04-27,8.735214640574519,8.608081725417103,8.471275372378592,2.073503256025297,2.8496773288439954
2005-04-28,8.735214640574519,7.449301493149416,10.464516636467676,2.015813997818892,4.749462214739992
2005-04-29,8.735214640574519,7.780381559511612,7.474654740334053,1.785056964993272,3.799569771791994
2005-05-02,8.49925159101271,7.283761459968317,9.966206320445403,3.400356194772613,5.699354657687991
2005-05-03,9.443103789259943,6.952681393606122,10.962826952489944,2.073503256025297,4.749462214739992
2005-05-04,9.443103789259943,7.780381559511612,7.972965056356323,2.073503256025297,3.799569771791994
2005-05-05,9.679066838821754,6.787141360425024,10.464516636467676,2.361949547057322,4.749462214739992
2005-05-06,6.611547194518243,7.614841526330514,6.976344424311782,1.6696784485804614,6.649247100635989
2005-05-09,8.027325491889096,6.6216013272439245,9.966206320445403,2.938842129121373,3.799569771791994
2005-05-10,7.791362442327286,7.283761459968317,8.969585688400862,2.477328063470132,3.799569771791994
2005-05-11,7.791362442327286,6.290521260881729,8.969585688400862,2.015813997818892,3.799569771791994
2005-05-12,7.555399392765477,7.449301493149416,8.471275372378592,1.8427462231996763,0.0
2005-05-13,6.611547194518243,7.118221426787221,7.474654740334053,1.5542999321676512,0.0
2005-05-16,7.555399392765477,7.283761459968317,6.4780341082895125,2.708085096295753,0.0
2005-05-17,9.679066838821754,7.283761459968317,6.4780341082895125,1.9581247396124868,2.8496773288439954
2005-05-18,8.971177690136328,7.283761459968317,7.972965056356323,1.900435481406081,3.799569771791994
2005-05-19,8.263288541450903,6.456061294062828,8.471275372378592,1.4966106739612464,4.749462214739992
2005-05-20,7.319436343203669,6.124981227700631,6.4780341082895125,1.6119891903740562,3.799569771791994
2005-05-23,7.791362442327286,6.456061294062828,7.474654740334053,2.6503958380893478,4.749462214739992
2005-05-24,8.735214640574519,6.456061294062828,6.4780341082895125,2.073503256025297,3.799569771791994
